title,price,link
"HP 15s Core i5 12th Gen (8GB RAM/512GB SSD/FHD/15.6"" (39.6 cm)/Windows 11/MS Office/Backlit Keyboard/Silver/1.69 kg) fq5329TU Laptop","44,933",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzY5NjQzMzMyNDg3NzE5OjE3NDcxMzg4MDM6c3BfYXRmX25leHQ6MzAwNTMzMzk1ODY4MzMyOjowOjo&url=%2FHP-Windows-Backlit-Keyboard-fq5329TU%2Fdp%2FB0CJM5Z6FY%2Fref%3Dsr_1_65_sspa%3Fcrid%3D4H22E92RYJXX%26dib%3DeyJ2IjoiMSJ9.E6j4Y8olKqUtpWGsENFXbZL_mMRyI-Ds_zLyryx_9G6jdd9JbH3LLWIWoo2aynbPNewiAlJ6_--lUIxzTdF5QAcLG1trtxQYtmGM7T9aKGF3Jb_H67wHQSC2VXG7uQeqwhNNL4MJiTYBVCI2V2s4EJMPE7znf2oXoa1y5L0dhFJIZnbM6lko_mBdXQTL_4rkp5FYANVJVMZVhXLNRNQLniXyWCLfeEYyHtp3HD7sUsc.JSA9L7xtJKC06bE-v-IN9J8UO7VKr55kee6_Ngz14hY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1747138803%26sprefix%3Dlaptop%252Caps%252C262%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U - (16GB/512GB SSD/Intel UHD Graphics/DOS) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg","40,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzY5NjQzMzMyNDg3NzE5OjE3NDcxMzg4MDM6c3BfYXRmX25leHQ6MzAwNTUxMzg2NjExNzMyOjowOjo&url=%2FLenovo-Intel-Core-12th-1235U%2Fdp%2FB0DJCNMC4C%2Fref%3Dsr_1_66_sspa%3Fcrid%3D4H22E92RYJXX%26dib%3DeyJ2IjoiMSJ9.E6j4Y8olKqUtpWGsENFXbZL_mMRyI-Ds_zLyryx_9G6jdd9JbH3LLWIWoo2aynbPNewiAlJ6_--lUIxzTdF5QAcLG1trtxQYtmGM7T9aKGF3Jb_H67wHQSC2VXG7uQeqwhNNL4MJiTYBVCI2V2s4EJMPE7znf2oXoa1y5L0dhFJIZnbM6lko_mBdXQTL_4rkp5FYANVJVMZVhXLNRNQLniXyWCLfeEYyHtp3HD7sUsc.JSA9L7xtJKC06bE-v-IN9J8UO7VKr55kee6_Ngz14hY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1747138803%26sprefix%3Dlaptop%252Caps%252C262%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Lenovo V15 Intel Celeron n4500 FHD 15.6 inch Laptop / 8GB DDR4 Ram and 256GB NVME SSD/Intel UHD Graphics/Windows 11 & MS-Office/Privacy Shutter/Black / 1.6kg / 1 Year Brand Warranty,"22,490",https://www.amazon.in/Lenovo-Celeron-Graphics-MS-Office-Warranty/dp/B0CP615Z5M/ref=sr_1_67?crid=4H22E92RYJXX&dib=eyJ2IjoiMSJ9.E6j4Y8olKqUtpWGsENFXbZL_mMRyI-Ds_zLyryx_9G6jdd9JbH3LLWIWoo2aynbPNewiAlJ6_--lUIxzTdF5QAcLG1trtxQYtmGM7T9aKGF3Jb_H67wHQSC2VXG7uQeqwhNNL4MJiTYBVCI2V2s4EJMPE7znf2oXoa1y5L0dhFJIZnbM6lko_mBdXQTL_4rkp5FYANVJVMZVhXLNRNQLniXyWCLfeEYyHtp3HD7sUsc.JSA9L7xtJKC06bE-v-IN9J8UO7VKr55kee6_Ngz14hY&dib_tag=se&keywords=laptop&qid=1747138803&sprefix=laptop%2Caps%2C262&sr=8-67
"Acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","23,990",https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_7?crid=4H22E92RYJXX&dib=eyJ2IjoiMSJ9.Ko5RDE2M3T20zKZkolIpr8OIL56R5_AWj1DiLscewfgmUmsx-08mX4vEbcyVUMw5kSlT2apjrvF9M_Uwa7F9lT_LItznPaFs7MytgmkefKuHFKFqu09NoVAYeerzm_zyWZxJMMg5nCB3noC-oEvNw59RF1tw5XTjBb2_cPwyYPPT7Y1CgnpsVggr8fxaG-kw8auEmTpk-gkP-9Mr1uB6U7nUELbFWWk5Ls6go-oaeuw.p7FvOSGhaaiQQ36qg2GgWhdzhlqL8zeLLso4uX6f17g&dib_tag=se&keywords=laptop&qid=1747138766&sprefix=laptop%2Caps%2C262&sr=8-7
"HP Victus, 13th Gen Intel Core i7-13620H, RTX 4060-8GB Gaming Laptop (16GB DDR4, 1TB SSD) 144Hz, IPS, 15.6""/39.6cm, Flicker-Free, Win11, Office21, Mica Silver, 2.29kg, Enhanced Cooling, fa1333TX","91,490",https://www.amazon.in/HP-i7-13620H-15-6-inch-Response-15-fa1333TX/dp/B0D7H15S9Z/ref=sr_1_68?crid=4H22E92RYJXX&dib=eyJ2IjoiMSJ9.E6j4Y8olKqUtpWGsENFXbZL_mMRyI-Ds_zLyryx_9G6jdd9JbH3LLWIWoo2aynbPNewiAlJ6_--lUIxzTdF5QAcLG1trtxQYtmGM7T9aKGF3Jb_H67wHQSC2VXG7uQeqwhNNL4MJiTYBVCI2V2s4EJMPE7znf2oXoa1y5L0dhFJIZnbM6lko_mBdXQTL_4rkp5FYANVJVMZVhXLNRNQLniXyWCLfeEYyHtp3HD7sUsc.JSA9L7xtJKC06bE-v-IN9J8UO7VKr55kee6_Ngz14hY&dib_tag=se&keywords=laptop&qid=1747138803&sprefix=laptop%2Caps%2C262&sr=8-68
Dyazo Laptop Bag Sleeve Sleeve Bag Cover for 13 inch Apple Mac Book Air Pro Retina 13 13.3 inch MacBook 13.3 inch and All Other laptops & Notebooks with Front Packet and Handle,299,https://www.amazon.in/Dyazo-Resistant-Compatible-laptops-Notebooks/dp/B09BFV96TS/ref=sr_1_69?crid=4H22E92RYJXX&dib=eyJ2IjoiMSJ9.E6j4Y8olKqUtpWGsENFXbZL_mMRyI-Ds_zLyryx_9G6jdd9JbH3LLWIWoo2aynbPNewiAlJ6_--lUIxzTdF5QAcLG1trtxQYtmGM7T9aKGF3Jb_H67wHQSC2VXG7uQeqwhNNL4MJiTYBVCI2V2s4EJMPE7znf2oXoa1y5L0dhFJIZnbM6lko_mBdXQTL_4rkp5FYANVJVMZVhXLNRNQLniXyWCLfeEYyHtp3HD7sUsc.JSA9L7xtJKC06bE-v-IN9J8UO7VKr55kee6_Ngz14hY&dib_tag=se&keywords=laptop&qid=1747138803&sprefix=laptop%2Caps%2C262&sr=8-69
"HP Smartchoice Victus, AMD Ryzen 5 8645HS, 6GB RTX 3050 AI Gaming Laptop, 31 TOPS (Upgradable 16GB DDR5, 512GB SSD) 144Hz, IPS, 15.6""/39.6cm, Flicker-free, Win11, M365*,Office24,Blue, 2.29kg, fb3009AX","74,990",https://www.amazon.in/HP-Smartchoice-Upgradable-Flicker-free-fb3009AX/dp/B0DTYX4VMP/ref=sr_1_70?crid=4H22E92RYJXX&dib=eyJ2IjoiMSJ9.E6j4Y8olKqUtpWGsENFXbZL_mMRyI-Ds_zLyryx_9G6jdd9JbH3LLWIWoo2aynbPNewiAlJ6_--lUIxzTdF5QAcLG1trtxQYtmGM7T9aKGF3Jb_H67wHQSC2VXG7uQeqwhNNL4MJiTYBVCI2V2s4EJMPE7znf2oXoa1y5L0dhFJIZnbM6lko_mBdXQTL_4rkp5FYANVJVMZVhXLNRNQLniXyWCLfeEYyHtp3HD7sUsc.JSA9L7xtJKC06bE-v-IN9J8UO7VKr55kee6_Ngz14hY&dib_tag=se&keywords=laptop&qid=1747138803&sprefix=laptop%2Caps%2C262&sr=8-70
"Dell Inspiron 7440 Thin & Light Laptop, Intel Core i7-13620H Processor, 16GB DDR5 + 512GB SSD, 14"" (35.52cm) FHD+ 250nits Display, Backlit KB + FPR, Win 11 + MSO'21, 15 Months McAfee, Ice Blue, 1.60kg","78,251",https://www.amazon.in/Dell-Inspiron-7440-i7-13620H-Processor/dp/B0D83D32DK/ref=sr_1_71?crid=4H22E92RYJXX&dib=eyJ2IjoiMSJ9.E6j4Y8olKqUtpWGsENFXbZL_mMRyI-Ds_zLyryx_9G6jdd9JbH3LLWIWoo2aynbPNewiAlJ6_--lUIxzTdF5QAcLG1trtxQYtmGM7T9aKGF3Jb_H67wHQSC2VXG7uQeqwhNNL4MJiTYBVCI2V2s4EJMPE7znf2oXoa1y5L0dhFJIZnbM6lko_mBdXQTL_4rkp5FYANVJVMZVhXLNRNQLniXyWCLfeEYyHtp3HD7sUsc.JSA9L7xtJKC06bE-v-IN9J8UO7VKr55kee6_Ngz14hY&dib_tag=se&keywords=laptop&qid=1747138803&sprefix=laptop%2Caps%2C262&sr=8-71
"Samsung Galaxy Book4 (Silver, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core 5 120U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","57,990",https://www.amazon.in/Samsung-Processor-Windows-Fingerprint-Graphics/dp/B0CX4Y81W8/ref=sr_1_72?crid=4H22E92RYJXX&dib=eyJ2IjoiMSJ9.E6j4Y8olKqUtpWGsENFXbZL_mMRyI-Ds_zLyryx_9G6jdd9JbH3LLWIWoo2aynbPNewiAlJ6_--lUIxzTdF5QAcLG1trtxQYtmGM7T9aKGF3Jb_H67wHQSC2VXG7uQeqwhNNL4MJiTYBVCI2V2s4EJMPE7znf2oXoa1y5L0dhFJIZnbM6lko_mBdXQTL_4rkp5FYANVJVMZVhXLNRNQLniXyWCLfeEYyHtp3HD7sUsc.JSA9L7xtJKC06bE-v-IN9J8UO7VKr55kee6_Ngz14hY&dib_tag=se&keywords=laptop&qid=1747138803&sprefix=laptop%2Caps%2C262&sr=8-72
"Lenovo IdeaPad Slim 5, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, WUXGA+ IPS, 14""/35.5cm, Windows 11, MS Office 2021, Cloud Grey, 1.46Kg, 83BF000UIN, Backlit KB, FHD Camera, Alexa Laptop","57,990",https://www.amazon.in/Lenovo-IdeaPad-12450H-Backlit-83BF000UIN/dp/B0CFF518HZ/ref=sr_1_73?crid=4H22E92RYJXX&dib=eyJ2IjoiMSJ9.E6j4Y8olKqUtpWGsENFXbZL_mMRyI-Ds_zLyryx_9G6jdd9JbH3LLWIWoo2aynbPNewiAlJ6_--lUIxzTdF5QAcLG1trtxQYtmGM7T9aKGF3Jb_H67wHQSC2VXG7uQeqwhNNL4MJiTYBVCI2V2s4EJMPE7znf2oXoa1y5L0dhFJIZnbM6lko_mBdXQTL_4rkp5FYANVJVMZVhXLNRNQLniXyWCLfeEYyHtp3HD7sUsc.JSA9L7xtJKC06bE-v-IN9J8UO7VKr55kee6_Ngz14hY&dib_tag=se&keywords=laptop&qid=1747138803&sprefix=laptop%2Caps%2C262&sr=8-73
